window_size,frames,accesses,faults,fault_rate,hit_rate,time_ms
5,16,100000,95611,0.956110,0.043890,27.94
5,32,100000,89227,0.892270,0.107730,54.56
5,64,100000,76459,0.764590,0.235410,83.68
5,128,100000,66925,0.669250,0.330750,72.56
5,256,100000,255,0.002550,0.997450,2.77
10,16,100000,97552,0.975520,0.024480,96.22
10,32,100000,91024,0.910240,0.089760,153.36
10,64,100000,77992,0.779920,0.220080,261.05
10,128,100000,66925,0.669250,0.330750,235.94
10,256,100000,255,0.002550,0.997450,5.24
15,16,100000,99584,0.995840,0.004160,158.75
15,32,100000,92928,0.929280,0.070720,324.05
15,64,100000,79616,0.796160,0.203840,540.39
15,128,100000,66925,0.669250,0.330750,472.87
15,256,100000,255,0.002550,0.997450,8.62
20,16,100000,100000,1.000000,0.000000,220.87
20,32,100000,94900,0.949000,0.051000,561.29
20,64,100000,81300,0.813000,0.187000,955.70
20,128,100000,66925,0.669250,0.330750,838.19
20,256,100000,255,0.002550,0.997450,13.96
25,16,100000,100000,1.000000,0.000000,374.53
25,32,100000,96962,0.969620,0.030380,866.38
25,64,100000,83074,0.830740,0.169260,1654.58
25,128,100000,66925,0.669250,0.330750,1475.76
25,256,100000,255,0.002550,0.997450,18.88